product_class,Month,sales_volume
C1014,2013-04-01,294266.0
C1014,2013-05-01,305610.0
C1014,2013-06-01,310888.0
C1014,2013-07-01,299706.0
C1014,2013-08-01,295656.0
C1014,2013-09-01,288227.0
C1014,2013-10-01,288381.0
C1014,2013-11-01,284165.0
C1014,2013-12-01,349978.0
C1014,2014-01-01,302163.0
C1014,2014-02-01,264199.0
C1014,2014-03-01,345750.0
C1014,2014-04-01,263976.0
C1014,2014-05-01,270022.0
C1014,2014-06-01,275270.0
C1014,2014-07-01,318903.0
C1014,2014-08-01,273727.0
C1014,2014-09-01,311458.0
C1014,2014-10-01,333806.0
C1014,2014-11-01,334641.0
C1014,2014-12-01,406357.0
C1014,2015-01-01,297880.0
C1014,2015-02-01,291309.0
C1014,2015-03-01,340960.0
C1014,2015-04-01,324200.0
C1014,2015-05-01,347976.0
C1014,2015-06-01,324125.0
C1014,2015-07-01,337416.0
C1014,2015-08-01,355779.0
C1014,2015-09-01,336528.0
C1014,2015-10-01,342339.0
C1014,2015-11-01,328473.0
C1014,2015-12-01,392984.0
C1014,2016-01-01,302334.0
C1014,2016-02-01,295519.0
C1014,2016-03-01,317022.0
C1014,2016-04-01,416542.0
C1014,2016-05-01,353754.0
C1014,2016-06-01,310300.0
C1014,2016-07-01,332936.0
C1014,2016-08-01,327966.0
C1014,2016-09-01,349746.0
C1014,2016-10-01,368132.0
C1014,2016-11-01,356371.0
C1014,2016-12-01,408398.0
C1014,2017-01-01,311354.0
C1014,2017-02-01,304673.0
C1014,2017-03-01,339453.0
C1014,2017-04-01,344970.0
C1014,2017-05-01,340847.0
C1014,2017-06-01,320523.0
C1014,2017-07-01,340431.0
C1016,2013-01-01,358216.0
C1016,2013-02-01,321158.0
C1016,2013-03-01,369151.0
C1016,2013-04-01,350735.0
C1016,2013-05-01,395277.0
C1016,2013-06-01,408048.0
C1016,2013-07-01,382785.0
C1016,2013-08-01,408279.0
C1016,2013-09-01,391730.0
C1016,2013-10-01,390384.0
C1016,2013-11-01,387374.0
C1016,2013-12-01,376463.0
C1016,2014-01-01,396104.0
C1016,2014-02-01,376161.0
C1016,2014-03-01,434991.0
C1016,2014-04-01,377596.0
C1016,2014-05-01,397036.0
C1016,2014-06-01,414583.0
C1016,2014-07-01,383488.0
C1016,2014-08-01,399523.0
C1016,2014-09-01,429563.0
C1016,2014-10-01,399347.0
C1016,2014-11-01,404446.0
C1016,2014-12-01,439557.0
C1016,2015-01-01,468852.0
C1016,2015-02-01,410474.0
C1016,2015-03-01,454129.0
C1016,2015-04-01,440432.0
C1016,2015-05-01,503691.0
C1016,2015-06-01,468407.0
C1016,2015-07-01,567178.0
C1016,2015-08-01,620872.0
C1016,2015-09-01,647508.0
C1016,2015-10-01,649747.0
C1016,2015-11-01,639808.0
C1016,2015-12-01,621737.0
C1016,2016-01-01,709715.0
C1016,2016-02-01,655389.0
C1016,2016-03-01,693251.0
C1016,2016-04-01,706723.0
C1016,2016-05-01,736706.0
C1016,2016-06-01,718357.0
C1016,2016-07-01,728137.0
C1016,2016-08-01,685644.0
C1016,2016-09-01,711525.0
C1016,2016-10-01,761773.0
C1016,2016-11-01,747989.0
C1016,2016-12-01,862268.0
C1016,2017-01-01,886174.0
C1016,2017-02-01,822703.0
C1016,2017-03-01,958033.0
C1016,2017-04-01,928015.0
C1016,2017-05-01,939931.0
C1016,2017-06-01,947848.0
C1016,2017-07-01,934025.0
C1018,2015-09-01,236.0
C1018,2015-10-01,287.0
C1018,2015-11-01,218.0
C1018,2015-12-01,203.0
C1018,2016-01-01,239.0
C1018,2016-02-01,171.0
C1018,2016-03-01,185.0
C1018,2016-04-01,170.0
C1018,2016-05-01,187.0
C1018,2016-06-01,153.0
C1018,2016-07-01,190.0
C1018,2016-08-01,179.0
C1018,2016-09-01,191.0
C1018,2016-10-01,127.0
C1018,2016-11-01,150.0
C1018,2016-12-01,168.0
C1018,2017-01-01,159.0
C1018,2017-02-01,174.0
C1018,2017-03-01,152.0
C1018,2017-04-01,118.0
C1018,2017-05-01,47.0
C1018,2017-06-01,80.0
C1018,2017-07-01,135.0
C1022,2013-01-01,35954.0
C1022,2013-02-01,31747.0
C1022,2013-03-01,37653.0
C1022,2013-04-01,37910.0
C1022,2013-05-01,45048.0
C1022,2013-06-01,43164.0
C1022,2013-07-01,58245.0
C1022,2013-08-01,95255.0
C1022,2013-09-01,101576.0
C1022,2013-10-01,99611.0
C1022,2013-11-01,104013.0
C1022,2013-12-01,143205.0
C1022,2014-01-01,124400.0
C1022,2014-02-01,120515.0
C1022,2014-03-01,137373.0
C1022,2014-04-01,123852.0
C1022,2014-05-01,131898.0
C1022,2014-06-01,129141.0
C1022,2014-07-01,125362.0
C1022,2014-08-01,129417.0
C1022,2014-09-01,121305.0
C1022,2014-10-01,119136.0
C1022,2014-11-01,128152.0
C1022,2014-12-01,136827.0
C1022,2015-01-01,122233.0
C1022,2015-02-01,115809.0
C1022,2015-03-01,150764.0
C1022,2015-04-01,141030.0
C1022,2015-05-01,135012.0
C1022,2015-06-01,143929.0
C1022,2015-07-01,154126.0
C1022,2015-08-01,152364.0
C1022,2015-09-01,146378.0
C1022,2015-10-01,146111.0
C1022,2015-11-01,147321.0
C1022,2015-12-01,174954.0
C1022,2016-01-01,158485.0
C1022,2016-02-01,139113.0
C1022,2016-03-01,145648.0
C1022,2016-04-01,153733.0
C1022,2016-05-01,150830.0
C1022,2016-06-01,143350.0
C1022,2016-07-01,142530.0
C1022,2016-08-01,144987.0
C1022,2016-09-01,141356.0
C1022,2016-10-01,159655.0
C1022,2016-11-01,197369.0
C1022,2016-12-01,224280.0
C1022,2017-01-01,178485.0
C1022,2017-02-01,171730.0
C1022,2017-03-01,315826.0
C1022,2017-04-01,184830.0
C1022,2017-05-01,409572.0
C1022,2017-06-01,241751.0
C1022,2017-07-01,183259.0
C1024,2013-01-01,10055.0
C1024,2013-02-01,9605.0
C1024,2013-03-01,11775.0
C1024,2013-04-01,11714.0
C1024,2013-05-01,11127.0
C1024,2013-06-01,8397.0
C1024,2013-07-01,5920.0
C1024,2013-08-01,8187.0
C1024,2013-09-01,10026.0
C1024,2013-10-01,10013.0
C1024,2013-11-01,9521.0
C1024,2013-12-01,12328.0
C1024,2014-01-01,10234.0
C1024,2014-02-01,9448.0
C1024,2014-03-01,10883.0
C1024,2014-04-01,9300.0
C1024,2014-05-01,6167.0
C1024,2014-06-01,12175.0
C1024,2014-07-01,14143.0
C1024,2014-08-01,16275.0
C1024,2014-09-01,16908.0
C1024,2014-10-01,14802.0
C1024,2014-11-01,23572.0
C1024,2014-12-01,23038.0
C1024,2015-01-01,15341.0
C1024,2015-02-01,13363.0
C1024,2015-03-01,16658.0
C1024,2015-04-01,14239.0
C1024,2015-05-01,14821.0
C1024,2015-06-01,13176.0
C1024,2015-07-01,13356.0
C1024,2015-08-01,14186.0
C1024,2015-09-01,12975.0
C1024,2015-10-01,13023.0
C1024,2015-11-01,12137.0
C1024,2015-12-01,14738.0
C1024,2016-01-01,12027.0
C1024,2016-02-01,11766.0
C1024,2016-03-01,11801.0
C1024,2016-04-01,12079.0
C1024,2016-05-01,12142.0
C1024,2016-06-01,10652.0
C1024,2016-07-01,12984.0
C1024,2016-08-01,12395.0
C1024,2016-09-01,11624.0
C1024,2016-10-01,11823.0
C1024,2016-11-01,12357.0
C1024,2016-12-01,17735.0
C1024,2017-01-01,13400.0
C1024,2017-02-01,11637.0
C1024,2017-03-01,13850.0
C1024,2017-04-01,12530.0
C1024,2017-05-01,12730.0
C1024,2017-06-01,12475.0
C1024,2017-07-01,14393.0
C1025,2013-01-01,4051.0
C1025,2013-02-01,3272.0
C1025,2013-03-01,3988.0
C1025,2013-04-01,4225.0
C1025,2013-05-01,4637.0
C1025,2013-06-01,5708.0
C1025,2013-07-01,6300.0
C1025,2013-08-01,5912.0
C1025,2013-09-01,5027.0
C1025,2013-10-01,4031.0
C1025,2013-11-01,4491.0
C1025,2013-12-01,6146.0
C1025,2014-01-01,4845.0
C1025,2014-02-01,4789.0
C1025,2014-03-01,5489.0
C1025,2014-04-01,5162.0
C1025,2014-05-01,7011.0
C1025,2014-06-01,8274.0
C1025,2014-07-01,8835.0
C1025,2014-08-01,2174.0
C1025,2014-09-01,371.0
C1025,2014-10-01,246.0
C1025,2014-11-01,137.0
C1025,2014-12-01,4863.0
C1025,2015-01-01,5012.0
C1025,2015-02-01,4202.0
C1025,2015-03-01,5599.0
C1025,2015-04-01,4945.0
C1025,2015-05-01,4634.0
C1025,2015-06-01,4679.0
C1025,2015-07-01,4868.0
C1025,2015-08-01,5005.0
C1025,2015-09-01,4585.0
C1025,2015-10-01,5020.0
C1025,2015-11-01,4869.0
C1025,2015-12-01,6260.0
C1025,2016-01-01,5110.0
C1025,2016-02-01,5063.0
C1025,2016-03-01,5658.0
C1025,2016-04-01,5764.0
C1025,2016-05-01,6687.0
C1025,2016-06-01,4665.0
C1025,2016-07-01,1035.0
C1025,2016-08-01,1101.0
C1025,2016-09-01,1862.0
C1025,2016-10-01,2139.0
C1025,2016-11-01,5571.0
C1025,2016-12-01,5900.0
C1025,2017-01-01,5099.0
C1025,2017-02-01,5402.0
C1025,2017-03-01,3703.0
C1025,2017-04-01,1688.0
C1025,2017-05-01,2507.0
C1025,2017-06-01,579.0
C1025,2017-07-01,680.0
C1026,2013-01-01,101625.0
C1026,2013-02-01,96907.0
C1026,2013-03-01,120937.0
C1026,2013-04-01,112014.0
C1026,2013-05-01,124609.0
C1026,2013-06-01,126874.0
C1026,2013-07-01,121488.0
C1026,2013-08-01,128105.0
C1026,2013-09-01,151451.0
C1026,2013-10-01,158772.0
C1026,2013-11-01,157533.0
C1026,2013-12-01,143951.0
C1026,2014-01-01,160934.0
C1026,2014-02-01,148802.0
C1026,2014-03-01,164634.0
C1026,2014-04-01,150904.0
C1026,2014-05-01,163617.0
C1026,2014-06-01,157865.0
C1026,2014-07-01,166236.0
C1026,2014-08-01,168917.0
C1026,2014-09-01,185388.0
C1026,2014-10-01,185976.0
C1026,2014-11-01,189405.0
C1026,2014-12-01,170170.0
C1026,2015-01-01,188523.0
C1026,2015-02-01,162524.0
C1026,2015-03-01,189193.0
C1026,2015-04-01,176193.0
C1026,2015-05-01,224229.0
C1026,2015-06-01,191255.0
C1026,2015-07-01,194405.0
C1026,2015-08-01,207034.0
C1026,2015-09-01,210090.0
C1026,2015-10-01,208989.0
C1026,2015-11-01,198448.0
C1026,2015-12-01,174865.0
C1026,2016-01-01,197279.0
C1026,2016-02-01,175615.0
C1026,2016-03-01,193782.0
C1026,2016-04-01,224091.0
C1026,2016-05-01,229557.0
C1026,2016-06-01,199445.0
C1026,2016-07-01,198466.0
C1026,2016-08-01,186598.0
C1026,2016-09-01,196145.0
C1026,2016-10-01,201632.0
C1026,2016-11-01,219217.0
C1026,2016-12-01,192517.0
C1026,2017-01-01,229739.0
C1026,2017-02-01,188013.0
C1026,2017-03-01,199768.0
C1026,2017-04-01,232612.0
C1026,2017-05-01,228307.0
C1026,2017-06-01,239717.0
C1026,2017-07-01,226819.0
C1027,2013-01-01,809.0
C1027,2013-02-01,678.0
C1027,2013-03-01,843.0
C1027,2013-04-01,892.0
C1027,2013-05-01,706.0
C1027,2013-06-01,604.0
C1027,2013-07-01,602.0
C1027,2013-08-01,513.0
C1027,2013-09-01,638.0
C1027,2013-10-01,589.0
C1027,2013-11-01,632.0
C1027,2013-12-01,426.0
C1027,2014-01-01,676.0
C1027,2014-02-01,586.0
C1027,2014-03-01,695.0
C1027,2014-04-01,705.0
C1027,2014-05-01,738.0
C1027,2014-06-01,491.0
C1027,2014-07-01,360.0
C1027,2014-08-01,969.0
C1027,2014-09-01,1030.0
C1027,2014-10-01,918.0
C1027,2014-11-01,845.0
C1027,2014-12-01,703.0
C1027,2015-01-01,679.0
C1027,2015-02-01,539.0
C1027,2015-03-01,793.0
C1027,2015-04-01,803.0
C1027,2015-05-01,796.0
C1027,2015-06-01,890.0
C1027,2015-07-01,233.0
C1027,2015-08-01,41.0
C1027,2015-09-01,233.0
C1027,2015-10-01,440.0
C1027,2015-11-01,473.0
C1027,2015-12-01,409.0
C1027,2016-01-01,291.0
C1027,2016-02-01,215.0
C1027,2016-03-01,159.0
C1027,2016-04-01,68.0
C1027,2016-05-01,11.0
C1027,2016-06-01,1.0
C1027,2016-07-01,29.0
C1027,2016-08-01,109.0
C1027,2016-09-01,137.0
C1027,2016-10-01,170.0
C1027,2016-11-01,146.0
C1027,2016-12-01,248.0
C1027,2017-01-01,205.0
C1027,2017-02-01,209.0
C1027,2017-03-01,208.0
C1027,2017-04-01,168.0
C1027,2017-05-01,234.0
C1027,2017-06-01,844.0
C1027,2017-07-01,1000.0
C1028,2013-01-01,58105.0
C1028,2013-02-01,73336.0
C1028,2013-03-01,84221.0
C1028,2013-04-01,73316.0
C1028,2013-05-01,92780.0
C1028,2013-06-01,85998.0
C1028,2013-07-01,95715.0
C1028,2013-08-01,99906.0
C1028,2013-09-01,103236.0
C1028,2013-10-01,108047.0
C1028,2013-11-01,118734.0
C1028,2013-12-01,223161.0
C1028,2014-01-01,94759.0
C1028,2014-02-01,120198.0
C1028,2014-03-01,118263.0
C1028,2014-04-01,120947.0
C1028,2014-05-01,136822.0
C1028,2014-06-01,119092.0
C1028,2014-07-01,118786.0
C1028,2014-08-01,121771.0
C1028,2014-09-01,104324.0
C1028,2014-10-01,114598.0
C1028,2014-11-01,114450.0
C1028,2014-12-01,265453.0
C1028,2015-01-01,104340.0
C1028,2015-02-01,123340.0
C1028,2015-03-01,130932.0
C1028,2015-04-01,132391.0
